rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
8,1.PS,Nokere Koerse,42556,MENTEN Milan,24180,0,12,2024-03-13,Kees
9,1.PS,Nokere Koerse,42556,HOFSTETTER Hugo,22702,0,10,2024-03-13,PB
10,1.PS,Nokere Koerse,42556,BITTNER Pavel,31555,0,8,2024-03-13,-
1,1.PS,Milano - Torino,42555,BETTIOL Alberto,20697,4,50,2024-03-13,PB
2,1.PS,Milano - Torino,42555,CHRISTEN Jan,34430,1,35,2024-03-13,-
3,1.PS,Milano - Torino,42555,HIRSCHI Marc,26509,0.5,25,2024-03-13,Bram
4,1.PS,Milano - Torino,42555,ULISSI Diego,10023,0,20,2024-03-13,Kaspar
5,1.PS,Milano - Torino,42555,VERMAERKE Kevin,29332,0,18,2024-03-13,Nicky
6,1.PS,Milano - Torino,42555,BRAMBILLA Gianluca,7279,0,16,2024-03-13,-
7,1.PS,Milano - Torino,42555,HERZOG Emil,34218,0,14,2024-03-13,-
8,1.PS,Milano - Torino,42555,MARCELLUSI Martin,29845,0,12,2024-03-13,-
9,1.PS,Milano - Torino,42555,SCHULTZ Nicholas,22744,0,10,2024-03-13,-
10,1.PS,Milano - Torino,42555,WANDAHL Frederik,30710,0,8,2024-03-13,-
1,2.1s,"Tour de Taiwan, Stage 4 : Nantou - Sun Moon Lake",42613,BETTLES Carter,29531,0.2,0,2024-03-13,-
1,2.1s,"Tour de Taiwan, Stage 3 : Xinpu - Shigang",42612,NIQUET-OLDEN Bentley,28423,0.2,0,2024-03-12,-
1,2.1s,"Tour de Taiwan, Stage 2 : Taoyuan - Jiaobanshan Park",42611,HOLLYMAN Mason,29836,0.2,0,2024-03-11,-
1,2.WT1,"Tirreno - Adriatico, General classification",42602,VINGEGAARD HANSEN Jonas,25740,10,50,2024-03-10,Arjan
2,2.WT1,"Tirreno - Adriatico, General classification",42602,AYUSO PESQUERA Juan,31654,3,35,2024-03-10,Frank
3,2.WT1,"Tirreno - Adriatico, General classification",42602,HINDLEY Jai,23948,1,25,2024-03-10,Kaspar
4,2.WT1,"Tirreno - Adriatico, General classification",42602,DEL TORO ROMERO Isaac,33556,0.5,20,2024-03-10,Kees
5,2.WT1,"Tirreno - Adriatico, General classification",42602,O'CONNOR Ben,23763,0.2,18,2024-03-10,Nicky
